Universe,Trade #,Entry Date,Exit Date,Hold Days,Exit Reason,Entry TS,Entry IV/RV,Entry Corr,P&L Underlying,P&L Gamma,P&L Vol,Total P&L
SOXX,16,2026-04-15,2026-04-20,4,end_of_data,0.698,0.875,0.28,-0.01327,0.00195,-0.01751,-0.04253
XLK,1,2023-12-04,2023-12-12,7,regime_flip,0.728,1.457,0.436,-0.00351,0.02469,0.01185,0.00599
XLK,2,2024-01-24,2024-02-01,7,regime_flip,0.805,1.402,0.32,0.00797,0.0092,0.03255,0.02267
XLK,3,2024-03-08,2024-03-25,12,regime_flip,1.1,0.961,0.141,-0.00668,0.02565,-0.01356,-0.02252
XLK,4,2024-03-28,2024-04-08,7,regime_flip,0.922,1.133,0.031,0.00584,0.01008,0.00298,-0.00815
XLK,5,2024-04-09,2024-04-17,7,regime_flip,0.68,1.708,0.268,0.00671,0.0295,0.0331,0.04226
XLK,6,2024-04-30,2024-05-08,7,regime_flip,1.192,0.851,0.351,-0.01265,0.04544,0.01403,0.01977
XLK,7,2024-05-13,2024-06-05,17,regime_flip,1.117,0.863,0.471,-0.03369,0.05209,-0.02943,-0.03983
XLK,8,2024-06-11,2024-06-21,8,regime_flip,1.125,0.796,0.227,-0.03043,0.03527,-0.00587,-0.02825
XLK,9,2024-06-24,2024-07-12,14,regime_flip,1.125,0.962,0.298,-0.0132,0.06655,0.0069,0.03198
XLK,10,2024-09-03,2024-09-11,7,regime_flip,0.846,1.03,0.595,0.02373,0.05338,0.03881,0.08887
XLK,11,2024-09-19,2024-10-02,10,regime_flip,0.971,0.757,0.525,-0.00668,0.0331,-0.01108,-0.01225
XLK,12,2024-10-04,2024-10-14,7,regime_flip,0.71,1.159,0.533,-0.0172,0.00981,0.00744,-0.027
XLK,13,2024-12-03,2024-12-11,7,regime_flip,0.752,1.16,0.116,-0.00299,0.00554,0.02095,-0.00356
XLK,14,2024-12-12,2024-12-20,7,regime_flip,0.699,1.26,-0.005,0.01376,0.00968,0.01349,0.00989
XLK,15,2025-05-02,2025-05-19,12,regime_flip,0.826,0.811,0.42,-0.04542,0.05272,-0.01746,-0.03809
XLK,16,2025-06-03,2025-06-16,10,regime_flip,0.506,1.014,0.69,-0.00945,0.00644,-0.01913,-0.04971
XLK,17,2025-06-26,2025-07-11,11,regime_flip,0.427,1.299,0.278,-0.01858,0.00807,-0.01726,-0.05551
XLK,18,2025-12-08,2025-12-16,7,regime_flip,0.847,1.267,0.106,0.01315,0.00517,0.03146,0.02272
XLK,19,2026-04-14,2026-04-20,5,end_of_data,0.774,1.002,0.394,-0.03169,0.02836,-0.04685,-0.06405
